CID,GENDER,AGE,SPEND
296,FEMALE,20,215.6422463824769
297,MALE,27,160.0
298,FEMALE,23,225.62287470931557
299,MALE,26,233.07000514796562
300,FEMALE,22,165.46528796523666
301,MALE,22,160.0
302,FEMALE,24,223.60167723817315
303,FEMALE,20,175.87962771802688
304,FEMALE,24,237.8802947171119
305,FEMALE,27,181.4147649332462
306,MALE,27,211.18814112358814
307,FEMALE,23,275.1601673377611
308,FEMALE,20,194.22482387321335
309,MALE,25,220.93154701677392
310,FEMALE,29,212.34304122246678
311,MALE,22,160.0
312,MALE,25,245.02829928178397
313,FEMALE,25,249.20127365180878
314,FEMALE,21,198.5085173727202
315,FEMALE,21,170.76330915711793
316,FEMALE,26,194.87011774040326
317,FEMALE,27,214.71978042371222
318,FEMALE,26,227.32292749851166
319,FEMALE,20,147.68420103938593
320,FEMALE,22,207.07052795841406
321,FEMALE,28,238.53889130979343
322,FEMALE,27,258.42765106084187
323,FEMALE,25,217.56847260674436
324,FEMALE,29,296.66914537586734
325,MALE,21,205.50646586236314
326,FEMALE,29,185.3610391144519
327,MALE,26,233.21294209549316
328,FEMALE,26,211.54180234801092
329,MALE,29,307.5553083199599
330,FEMALE,29,243.9643007882798
331,FEMALE,24,110.11793945013247
332,FEMALE,29,283.9053333319912
333,FEMALE,28,206.75691786104716
334,FEMALE,21,177.48313687503327
335,FEMALE,25,252.4801823239329
336,MALE,26,177.55314759909317
337,FEMALE,29,225.77881728553285
338,FEMALE,23,200.77774099407378
339,MALE,21,160.0
340,MALE,24,272.1974488878336
341,FEMALE,27,229.90466502145782
342,MALE,20,286.4851275074317
343,FEMALE,22,221.44329898688912
344,FEMALE,27,245.8389195632054
345,FEMALE,21,192.16611647944256
346,FEMALE,21,155.49125182853777
347,FEMALE,23,201.50262059628483
348,FEMALE,28,213.23395792519597
349,MALE,20,275.95826392948584
350,FEMALE,20,227.8579854130238
351,FEMALE,23,231.1942983655106
352,MALE,26,303.4957638965559
353,MALE,20,197.73692968903828
354,FEMALE,29,214.29478894942773
355,FEMALE,28,267.2595033406252
356,MALE,21,160.0
357,FEMALE,24,227.20762795160564
358,FEMALE,28,187.9112948582153
359,MALE,24,263.66001166959586
360,FEMALE,27,237.73240919988208
361,FEMALE,23,83.50414983041266
362,FEMALE,25,238.48811923577986
363,MALE,21,160.0
364,FEMALE,29,280.7074571001814
365,MALE,26,261.6027651585109
366,FEMALE,21,173.3202958449694
367,FEMALE,28,148.18073486553322
368,MALE,28,256.16365677528586
369,FEMALE,24,210.66496381292535
370,MALE,29,348.0679909680506
371,FEMALE,20,180.28399621028404
372,FEMALE,26,206.99426966911247
373,FEMALE,22,138.0180749214157
374,FEMALE,21,181.49900271884457
375,MALE,29,276.49047775733624
376,FEMALE,25,237.74404944471718
377,FEMALE,24,198.97986931575738
378,FEMALE,23,227.9102252689335
379,FEMALE,22,183.28802170126224
380,MALE,27,212.42875527019532
381,FEMALE,28,216.7944739600984
382,FEMALE,21,228.6154184323826
383,FEMALE,24,206.691893925515
384,FEMALE,22,244.50251346331288
385,FEMALE,22,188.02361894632588
386,FEMALE,26,195.43142884395468
387,MALE,20,185.03299841046146
388,FEMALE,28,220.7503660929828
389,FEMALE,24,228.83304115863868
390,FEMALE,25,210.18488582839254
391,,25,212.1890675363038
392,MALE,20,160.0
393,MALE,26,327.2081074933772
394,MALE,21,179.44141871405168
395,MALE,21,192.75700474994156
396,FEMALE,27,191.2840883585804
397,MALE,20,160.0
398,MALE,24,281.4352091115357
399,FEMALE,23,179.43764395908823
400,FEMALE,23,221.59928287714027
401,FEMALE,20,235.3790560687596
402,MALE,26,160.0
403,FEMALE,25,239.16118023062825
404,MALE,20,242.8807379639946
405,FEMALE,21,221.30315305292274
406,FEMALE,20,129.2652734195685
407,FEMALE,23,175.18022422042787
408,FEMALE,22,133.74849985084438
409,MALE,23,207.4010844979259
410,MALE,23,160.0
411,MALE,23,160.0
412,MALE,21,249.485838025992
413,MALE,21,303.10974252306244
414,MALE,20,240.79093246814526
415,MALE,24,354.02738061854427
416,FEMALE,25,196.01928757460695
417,FEMALE,20,227.8881575559845
418,FEMALE,22,159.83407115129842
419,MALE,26,241.6938552990744
420,FEMALE,21,156.00099706260502
421,MALE,26,160.0
422,FEMALE,25,177.31925112429565
423,FEMALE,28,233.8365146142162
424,MALE,24,175.5236794968685
425,FEMALE,28,207.36095429954213
426,FEMALE,28,215.53352797626115
427,FEMALE,27,214.9341056190678
428,FEMALE,24,234.3402752240037
429,FEMALE,20,135.74292991974977
430,MALE,26,197.92392184291174
431,FEMALE,27,202.65116490982177
432,FEMALE,20,205.04094366209597
433,FEMALE,25,196.47497638862606
434,FEMALE,27,202.05478318586287
435,FEMALE,21,179.50616271105196
436,MALE,26,160.0
437,FEMALE,29,191.11049410800467
438,FEMALE,25,203.36861757265814
439,FEMALE,24,213.20999211438541
440,FEMALE,29,223.9685105823549
441,FEMALE,22,161.41083256683947
442,MALE,21,160.0
443,FEMALE,23,187.14364229393874
444,MALE,27,312.7767319394561
445,FEMALE,23,159.6486346534346
446,MALE,20,160.0
447,MALE,27,160.0
448,MALE,26,212.32791512640648
449,FEMALE,24,168.44962354311485
450,FEMALE,22,203.07145685051722
451,FEMALE,24,171.945419702188
452,MALE,29,160.0
453,MALE,23,160.0
454,MALE,21,177.05808342066027
455,FEMALE,27,273.1036373425786
456,FEMALE,28,240.19565217241959
457,MALE,29,263.2574685021583
458,FEMALE,29,232.70164079588147
459,FEMALE,21,200.70211066611967
460,FEMALE,25,192.26170860421874
461,MALE,29,160.0
462,MALE,23,286.7610764342385
463,MALE,29,322.5790857753074
464,FEMALE,28,187.23519233442372
465,FEMALE,21,181.0640012080226
466,MALE,25,248.31010844452848
467,FEMALE,26,184.23353288335124
468,MALE,26,160.0
469,FEMALE,21,166.52228801854267
470,FEMALE,27,241.86339515567687
471,MALE,25,315.6772532846263
472,MALE,27,160.0
473,FEMALE,22,171.88060950500466
474,MALE,25,160.0
475,FEMALE,25,260.90612419467703
476,FEMALE,29,
477,FEMALE,29,274.88152188468894
478,FEMALE,21,225.4581753870412
479,MALE,22,202.4263362975986
480,MALE,29,278.5879299621563
481,MALE,23,268.8743453975056
482,FEMALE,26,218.28425560227026
483,MALE,23,184.45809036511747
484,MALE,29,187.60676277651302
485,MALE,21,185.6725517258383
486,FEMALE,25,192.43679438118446
487,MALE,27,359.02926044830497
488,MALE,25,160.0
489,FEMALE,25,261.50089574159097
490,FEMALE,21,241.16953054731226
491,FEMALE,26,210.90901016801746
492,MALE,29,328.52136614014364
493,FEMALE,23,198.0948430788904
494,MALE,25,265.11746441785624
495,FEMALE,21,235.98003018699725
496,MALE,29,214.8367142245272
497,FEMALE,29,251.50435198273226
498,FEMALE,23,184.00755552771835
499,FEMALE,21,240.22522768780686
500,MALE,22,160.0
501,MALE,27,236.49346716869312
502,FEMALE,22,196.77632667090225
503,FEMALE,23,221.2363926598535
504,MALE,22,287.8847587320488
505,FEMALE,20,169.53492860186793
506,FEMALE,28,216.9033490026705
507,FEMALE,24,157.3181485868939
508,FEMALE,23,191.00872675216192
509,FEMALE,28,204.67069909205938
510,FEMALE,21,166.62975256329844
511,FEMALE,26,275.5726650315238
512,FEMALE,29,264.0359865645648
513,FEMALE,21,190.1384652494957
514,MALE,23,160.0
515,MALE,20,350.41547128615207
516,MALE,22,168.61712381467314
517,FEMALE,29,247.46531756719304
518,MALE,23,173.6541856572927
519,MALE,27,207.28819497731857
520,MALE,26,160.0
521,MALE,29,
522,FEMALE,28,195.22041873569503
523,FEMALE,25,269.00263149387825
524,FEMALE,24,
525,MALE,21,160.0
526,MALE,21,212.97893397324816
527,MALE,26,176.1133644545527
528,MALE,24,267.5538584905516
529,FEMALE,25,210.45556410289862
530,MALE,28,160.0
531,FEMALE,28,273.1086353485918
532,FEMALE,28,275.3569608730145
533,FEMALE,27,196.78843994026528
534,FEMALE,22,200.35060811486966
535,MALE,21,160.0
536,FEMALE,28,248.76009089557786
537,FEMALE,21,227.52281720958405
538,MALE,24,249.60256455300618
539,FEMALE,29,174.15644278792837
540,FEMALE,22,212.73604581863611
541,MALE,29,160.0
542,MALE,24,190.50086658272105
543,MALE,26,160.0
544,MALE,29,224.04740060166023
545,MALE,26,214.78327539282316
546,MALE,27,160.0
547,FEMALE,20,147.78003348103795
548,MALE,20,160.0
549,FEMALE,20,207.85531857876362
550,FEMALE,26,217.07807003626903
551,FEMALE,24,183.13355157144008
552,FEMALE,22,212.11836239963742
553,FEMALE,20,205.3912267373105
554,FEMALE,24,204.5347380495104
555,MALE,26,313.8347055011525
556,MALE,20,160.0
557,FEMALE,26,209.10506768109008
558,FEMALE,22,229.1292053947391
559,FEMALE,20,190.18953544096235
560,MALE,22,252.4677672814895
561,MALE,23,160.0
562,MALE,26,373.0217447346663
563,FEMALE,27,294.1718185012305
564,MALE,27,298.58016665061535
565,MALE,25,160.0
566,FEMALE,29,167.01537840568938
567,MALE,26,160.0
568,FEMALE,25,122.6743894492845
569,FEMALE,21,170.67145084643204
570,M᠎ALE,20,186.65613185342784
571,FEMALE,23,229.1244503033123
572,MALE,20,160.0
573,FEMALE,28,226.79817025408863
574,MALE,21,228.80746490318347
575,MALE,28,255.29327068033209
576,FEMALE,23,214.01300553516126
577,MALE,26,239.74429662319056
578,FEMALE,23,184.8372012190788
579,MALE,27,226.87187044795826
580,FEMALE,25,231.74967492458134
581,FEMALE,25,238.00591642415452
582,FEMALE,22,213.76290598225506
583,MALE,27,160.0
584,FEMALE,21,167.56520631581827
585,MALE,26,228.31338945583676
586,FEMALE,21,204.1359692426744
587,MALE,28,262.43741535957366
588,FEMALE,29,222.06984173046524
589,FEMALE,27,236.27972417552226
590,FEMALE,28,246.32212726670915
591,MALE,27,193.45429613395453
592,MALE,27,160.0
593,FEMALE,27,238.24746221632407
594,FEMALE,27,176.08243112049496
595,MALE,20,331.4466971736964
596,MALE,24,160.0
597,MALE,26,160.0
598,FEMALE,29,234.82671887023355
599,MALE,25,210.72246485201345
600,FEMALE,26,230.2154711712456
601,MALE,21,217.09407568244393
602,FEMALE,25,272.90687793154297
603,FEMALE,27,203.13029195090422
604,FEMALE,23,205.7066218796045
605,MALE,23,160.0
606,FEMALE,26,190.8144401494414
607,MALE,20,316.25126605790615
608,MALE,29,279.6769805889208
609,MALE,28,160.0
610,MALE,22,201.0076773433918
611,MALE,21,160.0
612,MALE,26,160.0
613,MALE,26,160.0
614,FEMALE,25,219.13479533391194
615,FEMALE,28,219.38237578547452
616,FEMALE,23,192.5863780748659
617,MALE,24,221.14396591855964
618,FEMALE,29,240.79664420331142
619,MALE,21,267.8187734382051
620,FEMALE,21,156.47704914200347
621,FEMALE,29,266.42160489460105
622,MALE,23,275.6989689397016
623,MALE,23,
624,FEMALE,29,220.55229067650205
625,FEMALE,26,217.96409368257957
626,FEMALE,20,204.2394020319452
627,FEMALE,27,198.47773205520514
628,MALE,28,314.25103427402604
629,FEMALE,20,162.3491066053787
630,FEMALE,22,141.57209005418096
631,FEMALE,26,198.35678936862823
632,FEMALE,29,213.09121808017045
633,FEMALE,27,188.72818370906376
634,FEMALE,24,199.37568672207675
635,FEMALE,23,181.5873632391254
636,FEMALE,28,273.68686391575727
637,FEMALE,25,205.35691398560567
638,MALE,21,160.0
639,FEMALE,23,222.4453557175855
640,FEMALE,20,186.70641813214291
641,FEMALE,24,181.64951693811554
642,FEMALE,29,279.5978531253003
643,FEMALE,25,200.50694754559456
644,MALE,26,250.96888501224078
645,FEMALE,20,185.32567537629407
646,FEMALE,21,198.51096675659815
647,FEMALE,26,251.2918686919166
648,FEMALE,24,202.15954503537
649,FEMALE,29,234.6064861347852
650,MALE,27,165.21106840432813
651,FEMALE,21,188.1602724007528
652,FEMALE,22,198.5950212918271
653,MALE,29,189.30526386504278
654,FEMALE,26,239.6076485968491
655,MALE,29,313.1329451570192
656,MALE,23,160.0
657,MALE,26,160.0
658,FEMALE,23,273.6277191516979
659,MALE,25,160.0
660,FEMALE,27,220.027808271214
661,MALE,26,160.0
662,FEMALE,28,262.17026428880627
663,MALE,27,162.26270457866812
664,M᠎ALE,21,189.6438474340597
665,FEMALE,20,197.60728851369555
666,MALE,28,354.02705536731247
667,FEMALE,27,180.95935268929546
668,MALE,23,268.00316883198275
669,FEMALE,25,229.94843912054085
670,MALE,27,244.35722950511715
671,MALE,25,325.6899794205242
672,MALE,29,170.79425070446433
673,FEMALE,0,172.78401178222703
674,FEMALE,22,213.8602221868493
675,FEMALE,22,238.7122264190523
676,FEMALE,21,236.62104484414812
677,FEMALE,22,148.579399677476
678,FEMALE,22,172.27056839143177
679,FEMALE,23,219.57425063766848
680,FEMALE,20,207.92939450954864
681,MALE,29,267.66753295372484
682,FEMALE,26,226.46919961066266
683,MALE,28,160.0
684,MALE,25,274.55553161525467
685,MALE,29,321.18879217812184
686,FEMALE,26,218.39741045399916
687,FEMALE,29,201.73522345185194
688,FEMALE,29,205.22819770152068
689,FEMALE,28,240.38856735198942
690,FEMALE,27,234.4691870117239
691,FEMALE,29,218.09375473436978
692,MALE,20,160.0
693,FEMALE,23,236.3861005692803
694,FEMALE,20,222.92167393315248
695,FEMALE,28,236.76878415587367
696,MALE,22,334.7926650269515
697,MALE,28,174.32405022302225
698,FEMALE,23,193.45695724781285
699,FEMALE,23,196.06003319581365
700,FEMALE,25,211.1971148272416
701,MALE,20,193.0515686886099
702,MALE,21,237.48077166376362
703,FEMALE,21,184.34494202382257
704,FEMALE,21,182.74112249054963
705,MALE,28,180.7057842852502
706,MALE,25,160.0
707,MALE,29,253.21723667197708
708,MALE,29,224.9727357248802
709,FEMALE,28,211.36384113320338
710,MALE,26,196.32294372853434
711,MALE,23,239.1168094201509
712,FEMALE,27,163.6638805176592
713,FEMALE,23,216.97291381780644
714,MALE,28,255.37020519915419
715,FEMALE,21,193.80962917739038
716,MALE,27,175.10625443764644
717,MALE,20,184.4176795404164
718,FEMALE,20,193.07497575475477
719,MALE,21,320.93496406914795
720,MALE,27,160.0
721,FEMALE,26,215.8091480774829
722,FEMALE,20,165.65333176110127
723,MALE,21,256.8713421051938
724,FEMALE,26,193.9523358773253
725,FEMALE,20,214.98736698216686
726,FEMALE,29,205.36272525681807
727,MALE,26,171.88718213466774
728,MALE,28,239.54472051097852
729,FEMALE,25,211.15930783122872
730,MALE,24,202.88142907812727
731,FEMALE,24,238.88290811092727
732,FEMALE,29,233.33499556758937
733,FEMALE,24,254.39046986059762
734,FEMALE,21,183.17812002853955
735,MALE,29,184.87584378006113
736,MALE,20,190.94946390271713
737,MALE,25,254.3178996544916
738,MALE,21,234.44384373586735
739,FEMALE,27,242.5223285064199
740,MALE,21,186.2356902792774
741,FEMALE,23,185.56198264929998
742,FEMALE,24,224.05698425593476
743,FEMALE,27,211.5505995353658
744,FEMALE,29,242.5414128597368
745,MALE,22,160.0
746,FEMALE,27,218.0282745395618
747,MALE,26,198.41723048289518
748,FEMALE,26,239.67157202020692
749,FEMALE,25,254.5220372934068
750,FEMALE,21,191.37499811063952
751,MALE,22,164.3214753860089
752,FEMALE,26,213.1420290038193
753,MALE,25,160.0
754,FEMALE,23,235.77378838273904
755,FEMALE,25,196.6926540441341
756,FEMALE,20,164.22060855464812
757,MALE,23,167.17126102286298
758,FEMALE,20,200.43213903344622
759,MALE,26,261.6150905086205
760,FEMALE,28,191.49517581020797
761,FEMALE,26,167.40296045303757
762,FEMALE,23,261.0892897837657
763,MALE,23,382.91414847517774
764,FEMALE,28,239.43247780099622
765,MALE,24,163.9428328058168
766,FEMALE,20,159.33852984122146
767,FEMALE,25,193.840340580227
768,FEMALE,23,203.3402395483518
769,FEMALE,21,266.8606712182962
770,FEMALE,22,222.88675644002834
771,FEMALE,29,273.87619953097055
772,FEMALE,28,227.3396314671733
773,MALE,24,233.17413803368024
774,FEMALE,26,159.9560328340805
775,FEMALE,28,172.0846665105847
776,FEMALE,26,239.1015895450932
777,FEMALE,26,212.1056503952633
778,MALE,23,222.63296033383065
779,MALE,29,160.0
780,FEMALE,26,180.1795279394142
781,FEMALE,23,203.00255009503175
782,MALE,27,266.79107230526216
783,MALE,26,334.8694104168475
784,FEMALE,28,198.575075551351
785,FEMALE,20,204.50085083834347
786,MALE,25,232.59701963912744
787,FEMALE,24,209.21785640637125
788,FEMALE,21,271.0090098940527
789,FEMALE,24,176.31208437807015
790,FEMALE,27,238.30500275687993
791,FEMALE,23,229.1613043072011
792,MALE,26,160.23225257448982
793,FEMALE,21,200.32801582153436
794,FEMALE,29,198.5537423019577
795,MALE,24,208.86442104141076
796,FEMALE,21,142.64700013986067
797,FEMALE,22,225.8887008012042
798,FEMALE,22,197.7957277616974
799,FEMALE,21,231.71673957553136
800,FEMALE,27,220.91802393610402
801,FEMALE,24,203.57052201181324
802,FEMALE,20,207.00672085469148
803,FEMALE,20,215.13182985654674
804,FEMALE,23,212.81458951914715
805,FEMALE,23,176.55151753009932
806,MALE,23,179.80726942506269
807,FEMALE,20,188.21531715360783
808,FEMALE,28,184.3243273567581
809,FEMALE,20,194.42912925503344
810,FEMALE,28,211.46122609811232
811,MALE,29,221.6740506105785
812,MALE,29,259.61326282527745
813,MALE,25,160.0
814,FEMALE,25,220.19893989037374
815,MALE,28,200.60196336640243
816,FEMALE,24,239.21014357646033
817,MALE,29,251.23212617748626
818,FEMALE,27,199.8643093908343
819,FEMALE,27,182.48675454301105
820,MALE,25,174.4506219863344
821,FEMALE,23,218.9984288559795
822,FEMALE,27,173.38723540915527
823,FEMALE,21,190.91391676125653
824,FEMALE,20,211.35563814979233
825,MALE,23,160.0
826,MALE,24,210.51403839824803
827,FEMALE,20,221.7256845115424
828,MALE,22,266.8930746107254
829,FEMALE,21,240.26612032131328
830,FEMALE,20,206.4999561338122
831,FEMALE,23,196.01929555786595
832,FEMALE,21,191.1900863020187
833,MALE,25,160.0
834,FEMALE,20,204.12625690201986
835,MALE,23,184.04592533358897
836,FEMALE,23,197.90203572052826
